store_code,sku,sale_date,units_sold,unit_price,promotion_code
MANNHEIM-01,DRILL-18V,2025-01-01,18,12.00,
MANNHEIM-01,DRILL-18V,2025-01-02,17,12.00,
MANNHEIM-01,DRILL-18V,2025-01-03,17,12.00,
MANNHEIM-01,DRILL-18V,2025-01-04,16,12.00,
MANNHEIM-01,DRILL-18V,2025-01-05,19,12.00,
MANNHEIM-01,DRILL-18V,2025-01-06,16,12.00,
MANNHEIM-01,DRILL-18V,2025-01-07,20,12.00,
MANNHEIM-01,DRILL-18V,2025-01-08,16,12.00,
MANNHEIM-01,DRILL-18V,2025-01-09,18,12.00,
MANNHEIM-01,DRILL-18V,2025-01-10,16,12.00,
MANNHEIM-01,DRILL-18V,2025-01-11,18,12.00,
MANNHEIM-01,DRILL-18V,2025-01-12,20,12.00,
MANNHEIM-01,DRILL-18V,2025-01-13,17,12.00,
MANNHEIM-01,DRILL-18V,2025-01-14,15,12.00,
MANNHEIM-01,DRILL-18V,2025-01-15,17,12.00,
MANNHEIM-01,DRILL-18V,2025-01-16,17,12.00,
MANNHEIM-01,DRILL-18V,2025-01-17,18,12.00,
MANNHEIM-01,DRILL-18V,2025-01-18,19,12.00,
MANNHEIM-01,DRILL-18V,2025-01-19,17,12.00,
MANNHEIM-01,DRILL-18V,2025-01-20,15,12.00,
MANNHEIM-01,DRILL-18V,2025-01-21,18,12.00,
MANNHEIM-01,DRILL-18V,2025-01-22,19,12.00,
MANNHEIM-01,DRILL-18V,2025-01-23,18,12.00,
MANNHEIM-01,DRILL-18V,2025-01-24,15,12.00,
MANNHEIM-01,DRILL-18V,2025-01-25,18,12.00,
MANNHEIM-01,DRILL-18V,2025-01-26,16,12.00,
MANNHEIM-01,DRILL-18V,2025-01-27,15,12.00,
MANNHEIM-01,DRILL-18V,2025-01-28,15,12.00,
MANNHEIM-01,DRILL-18V,2025-01-29,14,12.00,
MANNHEIM-01,DRILL-18V,2025-01-30,15,12.00,
MANNHEIM-01,DRILL-18V,2025-01-31,14,12.00,
MANNHEIM-01,DRILL-18V,2025-02-01,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-02,18,12.00,
MANNHEIM-01,DRILL-18V,2025-02-03,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-04,16,12.00,
MANNHEIM-01,DRILL-18V,2025-02-05,18,12.00,
MANNHEIM-01,DRILL-18V,2025-02-06,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-07,14,12.00,
MANNHEIM-01,DRILL-18V,2025-02-08,13,12.00,
MANNHEIM-01,DRILL-18V,2025-02-09,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-10,13,12.00,
MANNHEIM-01,DRILL-18V,2025-02-11,17,12.00,
MANNHEIM-01,DRILL-18V,2025-02-12,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-13,14,12.00,
MANNHEIM-01,DRILL-18V,2025-02-14,16,12.00,
MANNHEIM-01,DRILL-18V,2025-02-15,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-16,16,12.00,
MANNHEIM-01,DRILL-18V,2025-02-17,13,12.00,
MANNHEIM-01,DRILL-18V,2025-02-18,14,12.00,
MANNHEIM-01,DRILL-18V,2025-02-19,12,12.00,
MANNHEIM-01,DRILL-18V,2025-02-20,14,12.00,
MANNHEIM-01,DRILL-18V,2025-02-21,14,12.00,
MANNHEIM-01,DRILL-18V,2025-02-22,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-23,16,12.00,
MANNHEIM-01,DRILL-18V,2025-02-24,12,12.00,
MANNHEIM-01,DRILL-18V,2025-02-25,15,12.00,
MANNHEIM-01,DRILL-18V,2025-02-26,16,12.00,
MANNHEIM-01,DRILL-18V,2025-02-27,16,12.00,
MANNHEIM-01,DRILL-18V,2025-02-28,12,12.00,
MANNHEIM-01,DRILL-18V,2025-03-01,12,12.00,
MANNHEIM-01,DRILL-18V,2025-03-02,11,12.00,
MANNHEIM-01,DRILL-18V,2025-03-03,13,12.00,
MANNHEIM-01,DRILL-18V,2025-03-04,14,12.00,
MANNHEIM-01,DRILL-18V,2025-03-05,15,12.00,
MANNHEIM-01,DRILL-18V,2025-03-06,12,12.00,
MANNHEIM-01,DRILL-18V,2025-03-07,15,12.00,
MANNHEIM-01,DRILL-18V,2025-03-08,15,12.00,
MANNHEIM-01,DRILL-18V,2025-03-09,12,12.00,
MANNHEIM-01,DRILL-18V,2025-03-10,15,12.00,
MANNHEIM-01,DRILL-18V,2025-03-11,15,12.00,
MANNHEIM-01,DRILL-18V,2025-03-12,13,12.00,
MANNHEIM-01,DRILL-18V,2025-03-13,14,12.00,
MANNHEIM-01,DRILL-18V,2025-03-14,12,12.00,
MANNHEIM-01,DRILL-18V,2025-03-15,11,12.00,
MANNHEIM-01,DRILL-18V,2025-03-16,13,12.00,
MANNHEIM-01,DRILL-18V,2025-03-17,13,12.00,
MANNHEIM-01,DRILL-18V,2025-03-18,11,12.00,
MANNHEIM-01,DRILL-18V,2025-03-19,13,12.00,
MANNHEIM-01,DRILL-18V,2025-03-20,11,12.00,
MANNHEIM-01,DRILL-18V,2025-03-21,11,12.00,
MANNHEIM-01,DRILL-18V,2025-03-22,14,12.00,
MANNHEIM-01,DRILL-18V,2025-03-23,14,12.00,
MANNHEIM-01,DRILL-18V,2025-03-24,14,12.00,
MANNHEIM-01,DRILL-18V,2025-03-25,11,12.00,
MANNHEIM-01,DRILL-18V,2025-03-26,13,12.00,
MANNHEIM-01,DRILL-18V,2025-03-27,13,12.00,
MANNHEIM-01,DRILL-18V,2025-03-28,9,12.00,
MANNHEIM-01,DRILL-18V,2025-03-29,10,12.00,
MANNHEIM-01,DRILL-18V,2025-03-30,11,12.00,
